DP05_0001E,DP05_0077PE,GEO_ID
Estimate!!SEX AND AGE!!Total population,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,id
6753,64.2,1400000US13073030306
7211,78.7,1400000US13073030307
11238,71,1400000US13073030308
10820,81.7,1400000US13073030309
2917,66.5,1400000US13073030401
11272,66.4,1400000US13073030402
9283,53.8,1400000US13073030503
3868,82.1,1400000US13073030504
8303,58.4,1400000US13073030505
12912,49.2,1400000US13073030506
4155,64.7,1400000US13073030603
2011,78.6,1400000US13075960100
3572,49,1400000US13075960200
6621,67,1400000US13075960300
4973,67.3,1400000US13075960400
7964,80.6,1400000US13077170100
7489,77.2,1400000US13077170200
6374,85.1,1400000US13077170303
7121,67.7,1400000US13077170304
11332,41.3,1400000US13077170305
10346,54.5,1400000US13077170306
9079,80.1,1400000US13077170402
5268,80.4,1400000US13077170403
5192,88.8,1400000US13077170404
7596,79.6,1400000US13077170405
4257,84.3,1400000US13077170406
7498,84.9,1400000US13077170501
6917,86.6,1400000US13077170502
6003,85.4,1400000US13077170503
8494,37.4,1400000US13077170601
8459,78.8,1400000US13077170602
5836,74.8,1400000US13077170603
7943,40.9,1400000US13077170700
5082,75.5,1400000US13077170801
5010,88,1400000US13077170802
3359,48.7,1400000US13079070100
5900,88,1400000US13079070201
3066,71.9,1400000US13079070202
3961,58.4,1400000US13081010100
4968,44.2,1400000US13081010201
2833,27.1,1400000US13081010202
3257,64.4,1400000US13081010300
6152,44.8,1400000US13081010400
1542,77.8,1400000US13081010500
4667,92.8,1400000US13083040101
3503,93.3,1400000US13083040102
3908,93.7,1400000US13083040200
4119,93.6,1400000US13083040300
8448,93.9,1400000US13085970100
7979,87.9,1400000US13085970201
8109,94.3,1400000US13085970202
3393,70.7,1400000US13087970100
2767,80.7,1400000US13087970200
6410,46.2,1400000US13087970300
4211,28.6,1400000US13087970400
5593,53.2,1400000US13087970600
1692,61.2,1400000US13087970700
2616,22.6,1400000US13087970800
1997,86,1400000US13089020100
1881,75.8,1400000US13089020200
4476,87.8,1400000US13089020300
2701,84.8,1400000US13089020400
3161,47.8,1400000US13089020500
2050,39.6,1400000US13089020600
2634,63.3,1400000US13089020700
2509,63.8,1400000US13089020801
4411,38.9,1400000US13089020802
5927,49.9,1400000US13089020900
3927,77.7,1400000US13089021101
6533,74.7,1400000US13089021102
9060,74.5,1400000US13089021202
3002,3.8,1400000US13089021204
4237,66.1,1400000US13089021208
6793,65.8,1400000US13089021209
5751,86.6,1400000US13089021210
5065,75.4,1400000US13089021211
3526,86.7,1400000US13089021213
6206,84.7,1400000US13089021214
6550,29.2,1400000US13089021215
7974,50.4,1400000US13089021216
2609,65.5,1400000US13089021217
6071,39.3,1400000US13089021218
3817,26.3,1400000US13089021301
5869,12.3,1400000US13089021303
4970,30.5,1400000US13089021305
5073,22.4,1400000US13089021306
4185,28.8,1400000US13089021307
4391,24.5,1400000US13089021308
4599,78.6,1400000US13089021405
3930,9.7,1400000US13089021409
5443,31.2,1400000US13089021410
3242,76.9,1400000US13089021411
3764,81.1,1400000US13089021412
4081,15.9,1400000US13089021413
4156,18.2,1400000US13089021414
3687,69.9,1400000US13089021415
2298,47.3,1400000US13089021416
6193,16.8,1400000US13089021417
4297,69,1400000US13089021502
3938,66.9,1400000US13089021503
5357,64.3,1400000US13089021504
3759,78,1400000US13089021602
4943,60.9,1400000US13089021603
3237,84.3,1400000US13089021604
6236,49.6,1400000US13089021605
4713,76.5,1400000US13089021703
6045,66.1,1400000US13089021704
4879,46.4,1400000US13089021705
4893,59.7,1400000US13089021706
7536,39,1400000US13089021805
6732,29.5,1400000US13089021806
5133,45.3,1400000US13089021808
6785,68.2,1400000US13089021809
5788,56,1400000US13089021810
2056,45.8,1400000US13089021812
2752,7.3,1400000US13089021813
6120,17.2,1400000US13089021814
5572,13.7,1400000US13089021906
9022,20.1,1400000US13089021907
5443,8.6,1400000US13089021908
7168,13.1,1400000US13089021909
6006,13.5,1400000US13089021910
1569,2.2,1400000US13089021911
3509,61.8,1400000US13089021912
4450,12.6,1400000US13089021913
4559,65.2,1400000US13089022001
5754,10.2,1400000US13089022004
5395,13.9,1400000US13089022005
4098,7.7,1400000US13089022007
7764,11.6,1400000US13089022008
5572,3.7,1400000US13089022009
2424,20.3,1400000US13089022010
3689,21,1400000US13089022100
2130,50.6,1400000US13089022203
8242,26.7,1400000US13089022204
6061,67.5,1400000US13089022301
4371,69.8,1400000US13089022302
3873,77.7,1400000US13089022401
6698,44.8,1400000US13089022402
3987,87.7,1400000US13089022403
7102,66,1400000US13089022500
6600,65.6,1400000US13089022600
5413,67.3,1400000US13089022700
4361,65.7,1400000US13089022800
3767,66.7,1400000US13089022900
2115,83.7,1400000US13089023000
4462,18.8,1400000US13089023101
